
> frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.17:3000
- Environments: .env.local
✓ Ready in 943ms

 POST /api/reasons 200 in 1279ms (next.js: 835ms, application-code: 444ms)
 GET /api/reasons 200 in 25ms (next.js: 11ms, application-code: 14ms)
 POST /api/chat 502 in 259ms (next.js: 80ms, application-code: 179ms)
 GET /dashboard 200 in 1201ms (next.js: 309ms, application-code: 892ms)
 GET /api/reasons 200 in 67ms (next.js: 15ms, application-code: 52ms)
 GET /api/reasons 200 in 65ms (next.js: 34ms, application-code: 30ms)
 POST /api/reasons 200 in 543ms (next.js: 22ms, application-code: 521ms)
 POST /api/reasons 200 in 682ms (next.js: 13ms, application-code: 669ms)
 POST /api/reasons 200 in 233ms (next.js: 7ms, application-code: 226ms)
 POST /api/reasons 200 in 223ms (next.js: 7ms, application-code: 216ms)
 GET /api/reasons 200 in 27ms (next.js: 7ms, application-code: 20ms)
 POST /api/reasons 200 in 216ms (next.js: 8ms, application-code: 208ms)
 POST /api/reasons 200 in 208ms (next.js: 3ms, application-code: 205ms)
 GET /api/reasons 200 in 21ms (next.js: 6ms, application-code: 14ms)
 POST /api/reasons 200 in 207ms (next.js: 3ms, application-code: 204ms)
 POST /api/reasons 200 in 207ms (next.js: 9ms, application-code: 198ms)
 GET /api/reasons 200 in 15ms (next.js: 5ms, application-code: 9ms)
 POST /api/reasons 200 in 215ms (next.js: 8ms, application-code: 207ms)
 POST /api/reasons 200 in 333ms (next.js: 7ms, application-code: 327ms)
 POST /api/reasons 200 in 205ms (next.js: 5ms, application-code: 201ms)
 POST /api/reasons 200 in 215ms (next.js: 6ms, application-code: 209ms)
 POST /api/reasons 200 in 211ms (next.js: 6ms, application-code: 205ms)
 GET /api/reasons 200 in 21ms (next.js: 6ms, application-code: 16ms)
 POST /api/reasons 200 in 209ms (next.js: 6ms, application-code: 203ms)
 GET /api/reasons 200 in 19ms (next.js: 4ms, application-code: 15ms)
 POST /api/reasons 200 in 579ms (next.js: 10ms, application-code: 568ms)
 POST /api/reasons 200 in 264ms (next.js: 12ms, application-code: 252ms)
 POST /api/reasons 200 in 264ms (next.js: 9ms, application-code: 255ms)
 GET /api/reasons 200 in 18ms (next.js: 5ms, application-code: 13ms)
 POST /api/reasons 200 in 256ms (next.js: 11ms, application-code: 245ms)
 POST /api/reasons 200 in 247ms (next.js: 6ms, application-code: 240ms)
 POST /api/reasons 200 in 254ms (next.js: 9ms, application-code: 245ms)
 GET /api/reasons 200 in 17ms (next.js: 5ms, application-code: 12ms)
 POST /api/reasons 200 in 511ms (next.js: 8ms, application-code: 503ms)
 GET /api/reasons 200 in 22ms (next.js: 6ms, application-code: 16ms)
 POST /api/reasons 200 in 240ms (next.js: 7ms, application-code: 233ms)
 POST /api/reasons 200 in 237ms (next.js: 6ms, application-code: 231ms)
 POST /api/reasons 200 in 230ms (next.js: 9ms, application-code: 221ms)
 GET /api/reasons 200 in 24ms (next.js: 8ms, application-code: 17ms)
 POST /api/reasons 200 in 224ms (next.js: 4ms, application-code: 220ms)
 GET /api/reasons 200 in 23ms (next.js: 9ms, application-code: 14ms)
 POST /api/reasons 200 in 247ms (next.js: 9ms, application-code: 238ms)
 POST /api/reasons 200 in 216ms (next.js: 7ms, application-code: 209ms)
 GET /api/reasons 200 in 21ms (next.js: 6ms, application-code: 15ms)
 POST /api/reasons 200 in 237ms (next.js: 4ms, application-code: 233ms)
 POST /api/reasons 200 in 229ms (next.js: 5ms, application-code: 224ms)
 POST /api/reasons 200 in 222ms (next.js: 4ms, application-code: 219ms)
 GET /api/reasons 200 in 17ms (next.js: 5ms, application-code: 12ms)
 GET /api/reasons 200 in 32ms (next.js: 5ms, application-code: 27ms)
 POST /api/reasons 200 in 469ms (next.js: 5ms, application-code: 464ms)
 POST /api/reasons 200 in 214ms (next.js: 4ms, application-code: 210ms)
 POST /api/reasons 200 in 230ms (next.js: 6ms, application-code: 224ms)
 POST /api/reasons 200 in 281ms (next.js: 7ms, application-code: 274ms)
 POST /api/reasons 200 in 205ms (next.js: 6ms, application-code: 199ms)
 GET /api/reasons 200 in 18ms (next.js: 6ms, application-code: 12ms)
 POST /api/reasons 200 in 216ms (next.js: 6ms, application-code: 211ms)
 GET /api/reasons 200 in 21ms (next.js: 8ms, application-code: 13ms)
 POST /api/reasons 200 in 330ms (next.js: 10ms, application-code: 320ms)
 POST /api/reasons 200 in 161ms (next.js: 7ms, application-code: 154ms)
 GET /api/reasons 200 in 33ms (next.js: 9ms, application-code: 24ms)
 POST /api/reasons 200 in 167ms (next.js: 6ms, application-code: 160ms)
 POST /api/reasons 200 in 164ms (next.js: 6ms, application-code: 158ms)
 GET /api/reasons 200 in 28ms (next.js: 7ms, application-code: 21ms)
